COP_x;COP_y;Acc_x;Acc_y;Jerk_x;Jerk_y;Class
0,515322349;0,140392562;0,528230958;0,159890731;0,350248902;0,268366785;Healthy
0,513577814;0,146660119;0,383077803;0,148744692;0,182385285;0,297086209;Healthy
0,502813282;0,15321837;0,377209513;0,185565116;0,288502531;0,325582388;Healthy
0,482929599;0,165063761;0,438469089;0,227285166;0,212352507;0,28332857;Healthy
0,458281716;0,176586124;0,288642731;0,156447524;0,220433851;0,23051804;Healthy
0,435787529;0,188406053;0,200006307;0,159984025;0,171767203;0,184523416;Healthy
0,419498472;0,198236092;0,296181681;0,104232722;0,199080985;0,337420855;Healthy
0,411197792;0,207499392;0,230211931;0,323144742;0,16795256;0,361017463;Healthy
0,410936753;0,216409334;0,331926489;0,097737247;0,239325208;0,299802002;Healthy
0,419981059;0,219000541;0,294442351;0,251075101;0,223931149;0,090431884;Healthy
0,435354196;0,221625968;0,401087687;0,21762717;0,245633001;0,162673594;Healthy
0,45257793;0,222161531;0,483950453;0,202579876;0,375464892;0,266462043;Healthy
0,464006918;0,221363114;0,249195733;0,232602155;0,065117135;0,390534835;Healthy
0,465544018;0,220696076;0,257192147;0,207571411;0,202568889;0,271995769;Healthy
0,468051386;0,221423517;0,364466232;0,132481898;0,156760059;0,208815276;Healthy
0,472278547;0,225193596;0,282225439;0,160591274;0,325437595;0,181112227;Healthy
0,474465108;0,230625275;0,300019346;0,191572215;0,207671961;0,235692923;Healthy
0,478404718;0,233710603;0,305197978;0,18820118;0,166294571;0,212930485;Healthy
0,487748258;0,235497325;0,30843328;0,190937612;0,196108279;0,23370877;Healthy
0,499708349;0,235595063;0,342206435;0,178089728;0,238187239;0,173111197;Healthy
0,509390315;0,233414888;0,381560286;0,142930024;0,092781562;0,139181049;Healthy
0,513143332;0,230409979;0,347572934;0,122474947;0,31719978;0,125475934;Healthy
0,510447251;0,228140129;0,38976902;0,142866087;0,246264603;0,176283364;Healthy
0,501248268;0,226519998;0,318180004;0,104372157;0,305612203;0,213924103;Healthy
0,48826416;0,224680883;0,319852676;0,162314292;0,208660467;0,204158331;Healthy
0,475838713;0,222413437;0,299255168;0,189641761;0,173395628;0,193025829;Healthy
0,458243461;0,219918336;0,185510554;0,14801857;0,251848385;0,220653511;Healthy
0,437588574;0,216891328;0,241410273;0,177384079;0,16210477;0,230045359;Healthy
0,417853283;0,213340547;0,228841553;0,124475494;0,15513917;0,312847371;Healthy
0,401770141;0,211063773;0,319100935;0,237973988;0,23118574;0,357609005;Healthy
0,387439187;0,207565069;0,441663531;0,203037551;0,244333121;0,263452116;Healthy
0,371402516;0,210629113;0,390885488;0,155088119;0,197876812;0,187480556;Healthy
0,349889941;0,213463948;0,300423377;0,127997698;0,262555063;0,179924098;Healthy
0,326841579;0,218327236;0,246710253;0,125420145;0,113871258;0,245213238;Healthy
0,307052262;0,220745845;0,236854474;0,194149515;0,174898675;0,191598888;Healthy
0,289001682;0,226092356;0,312164282;0,147011763;0,351027375;0,145663578;Healthy
0,272031711;0,229643463;0,25317809;0,106386527;0,144222925;0,181831776;Healthy
0,255216513;0,232033274;0,257025004;0,173783815;0,266598986;0,336621309;Healthy
0,243595229;0,232784602;0,198099104;0,210164698;0,256303761;0,30869205;Healthy
0,234339269;0,22890674;0,35506147;0,16163466;0,110556501;0,249206059;Healthy
0,226058489;0,231467185;0,313610641;0,193193841;0,121387928;0,228311514;Healthy
0,213137956;0,229916929;0,303671532;0,178674072;0,235627803;0,199782448;Healthy
0,194756053;0,227298458;0,224725704;0,164211785;0,193056968;0,201121712;Healthy
0,172014228;0,224578009;0,216736208;0,116209641;0,19976946;0,229504742;Healthy
0,148710745;0,221873034;0,325189633;0,187195181;0,230940766;0,254821901;Healthy
0,127626692;0,220002416;0,260403064;0,132405399;0,153728557;0,209487515;Healthy
0,11138583;0,212664702;0,279062757;0,139724296;0,124496253;0,171883014;Healthy
0,110513159;0,207109773;0,306294278;0,075668922;0,191151147;0,145078989;Healthy
0,130838384;0,202867513;0,200076241;0,106585031;0,243066874;0,225665716;Healthy
0,166882154;0,199256234;0,305112867;0,164761404;0,184075601;0,213126474;Healthy
0,209145265;0,196720104;0,291514149;0,083498837;0,18683318;0,144790989;Healthy
0,24847829;0,192647582;0,29074188;0,089519219;0,142845071;0,249321381;Healthy
0,284946644;0,19062449;0,292242561;0,214872551;0,186916141;0,239470803;Healthy
0,314424859;0,186711844;0,355469492;0,156966753;0,170044536;0,163433145;Healthy
0,336088223;0,181532632;0,245996047;0,158217612;0,171341433;0,273770233;Healthy
0,349434262;0,172588358;0,262526059;0,165759883;0,168542123;0,189225338;Healthy
0,357720654;0,163444399;0,222289349;0,128039385;0,250599985;0,25130276;Healthy
0,359946179;0,155127085;0,339222569;0,182639251;0,284969032;0,281038262;Healthy
0,358766049;0,146970963;0,328493552;0,130965008;0,268712924;0,201486784;Healthy
0,357116847;0,141901661;0,4343623;0,144095537;0,231205067;0,160738251;Healthy
0,353967582;0,136161133;0,375341619;0,105135544;0,188927843;0,220406264;Healthy
0,345555106;0,131002817;0,41695707;0,173010554;0,313262597;0,180824535;Healthy
0,335743343;0,126324028;0,302046699;0,114728972;0,285307339;0,117300422;Healthy
0,325255617;0,121359442;0,252831452;0,162431974;0,391796196;0,171346254;Healthy
0,319706373;0,117924299;0,431510659;0,095888959;0,343345505;0,169613628;Healthy
0,322788094;0,113310472;0,506182046;0,102240223;0,258881728;0,092762487;Healthy
0,333338199;0,110136345;0,604954234;0,123238425;0,352910211;0,197400455;Healthy
0,341037619;0,107329831;0,437530223;0,159199563;0,270147529;0,236185438;Healthy
0,335501271;0,102779716;0,370632209;0,137188775;0,233734123;0,222337653;Healthy
0,323184135;0,098185254;0,275526097;0,158196377;0,297032727;0,129070735;Healthy
0,310323087;0,093423467;0,216854389;0,118397067;0,180935723;0,198603852;Healthy
0,299793856;0,089074888;0,16997535;0,1264238;0,273596884;0,237633611;Healthy
0,289160513;0,085657054;0,345208999;0,157202655;0,237956765;0,225265917;Healthy
0,279636337;0,083422219;0,355877534;0,126706023;0,312805787;0,24831469;Healthy
0,275203742;0,08514053;0,259668571;0,18445481;0,521486174;0,223390041;Healthy
0,277672496;0,091394813;0,545247639;0,118804565;0,411040958;0,18989941;Healthy
