COP_x;COP_y;Acc_x;Acc_y;Jerk_x;Jerk_y;Class
0,681649342;0,357276862;0,433484229;0,324126072;0,457434779;0,468178844;Healthy
0,675153806;0,351710565;0,406739597;0,28187204;0,312507559;0,282228782;Healthy
0,670222424;0,346278595;0,422835039;0,208642506;0,255451661;0,236000586;Healthy
0,66363937;0,341197009;0,403643507;0,199530446;0,227060731;0,229548458;Healthy
0,657647291;0,336719208;0,388170515;0,216358015;0,278666981;0,251536116;Healthy
0,652479583;0,333249006;0,42297457;0,219461526;0,28347232;0,247973829;Healthy
0,649881747;0,331536796;0,42460804;0,232753587;0,290727608;0,240842176;Healthy
0,648675835;0,33039191;0,479105122;0,257632792;0,289164413;0,249089433;Healthy
0,647789169;0,330199041;0,394279594;0,253197764;0,312626051;0,248748897;Healthy
0,648398255;0,330801176;0,302690335;0,230413963;0,265531088;0,196908963;Healthy
0,652952719;0,331276435;0,336097213;0,256469519;0,312408572;0,248482239;Healthy
0,662126945;0,332499861;0,410909862;0,275820439;0,313167889;0,2475992;Healthy
0,674122901;0,333122765;0,47649372;0,260330925;0,247086554;0,271550174;Healthy
0,686075747;0,334939535;0,542902212;0,248685687;0,269997426;0,269039464;Healthy
0,695795879;0,338290675;0,45605168;0,212131138;0,295601217;0,236587816;Healthy
0,700957238;0,343759883;0,410002007;0,193131046;0,296919216;0,229556993;Healthy
0,702523063;0,35124544;0,38349699;0,205312931;0,269557717;0,235068846;Healthy
0,702437438;0,359136773;0,349062112;0,202672212;0,230882126;0,227291338;Healthy
0,701147301;0,36789512;0,31699752;0,231754968;0,291437765;0,260294128;Healthy
0,699132843;0,376010423;0,358763245;0,265541977;0,261586211;0,310403578;Healthy
0,697686349;0,382795634;0,415327975;0,249076874;0,319443078;0,247607156;Healthy
0,695455747;0,387274168;0,391448314;0,240614744;0,298304983;0,231900218;Healthy
0,690209154;0,390915576;0,401144465;0,237762175;0,325413481;0,225117857;Healthy
0,681935536;0,39378254;0,362156555;0,227977281;0,259154369;0,264213019;Healthy
0,675198136;0,399407777;0,376190153;0,226838013;0,3682173;0,333877197;Healthy
0,670170216;0,405195705;0,402134048;0,228663598;0,311393048;0,275575533;Healthy
0,665941895;0,41261047;0,424375087;0,204078529;0,339846364;0,257673745;Healthy
0,663400958;0,421248324;0,380394409;0,202997979;0,314210902;0,246780049;Healthy
0,665079327;0,430109939;0,369137023;0,199589537;0,283372663;0,229718735;Healthy
0,670629816;0,4401171;0,351488381;0,209728384;0,270575793;0,276683759;Healthy
0,675810809;0,447703009;0,402678683;0,277124961;0,310030708;0,31693446;Healthy
0,680012626;0,454390964;0,353820911;0,262928581;0,34152073;0,240221938;Healthy
0,685067065;0,459478558;0,393666481;0,214634117;0,284065221;0,265226604;Healthy
0,689120063;0,462578078;0,393476345;0,253981155;0,295251644;0,273487389;Healthy
0,692470133;0,463921118;0,407370859;0,289093512;0,237895124;0,237432191;Healthy
0,694649734;0,462848508;0,369178574;0,242869711;0,328972056;0,244159309;Healthy
0,697681557;0,459887654;0,39267887;0,215062402;0,321326067;0,286011449;Healthy
0,701053052;0,455815374;0,405671106;0,20816978;0,327786244;0,252130379;Healthy
0,702125294;0,452073254;0,388948922;0,23062507;0,368291545;0,260722771;Healthy
0,702317571;0,447362153;0,50304988;0,272793339;0,311340936;0,226522804;Healthy
0,702048746;0,443077344;0,465892146;0,255687592;0,294438769;0,245145766;Healthy
0,69990786;0,437074369;0,489274237;0,309549119;0,358343712;0,283917551;Healthy
0,693237787;0,43070119;0,556825391;0,261259129;0,379983284;0,238257764;Healthy
0,680674782;0,42290029;0,532073695;0,246087609;0,338931688;0,231238572;Healthy
0,661561954;0,414200233;0,475847676;0,224930776;0,470790162;0,230633519;Healthy
0,640747471;0,407065326;0,475143229;0,238620781;0,305338586;0,237385543;Healthy
0,620384273;0,402396277;0,48450545;0,215398525;0,322624861;0,276572463;Healthy
0,60277386;0,402430927;0,451887989;0,22199416;0,471470436;0,291966747;Healthy
0,586630986;0,40441297;0,577645929;0,223299457;0,315181744;0,252580659;Healthy
0,575701277;0,407463211;0,567524453;0,279562953;0,384318618;0,228559323;Healthy
0,572952557;0,411042761;0,535253395;0,285062921;0,354057421;0,216338317;Healthy
0,575272278;0,412966387;0,483227714;0,256877774;0,375271494;0,244978434;Healthy
0,579386711;0,412425442;0,497896376;0,241723177;0,323451824;0,307939949;Healthy
0,585338125;0,408366079;0,437421606;0,24707362;0,39956419;0,319940522;Healthy
0,591394409;0,402993767;0,409517752;0,230728403;0,214465147;0,305396596;Healthy
0,596443296;0,398723669;0,397887926;0,249691223;0,370147766;0,265476;Healthy
0,602150565;0,395153785;0,396407259;0,238790237;0,294114004;0,224357771;Healthy
0,608317999;0,392615756;0,467466726;0,226952966;0,387794987;0,271897453;Healthy
0,616042981;0,391939219;0,518525892;0,22252075;0,33040352;0,318557621;Healthy
0,623167928;0,391061749;0,565086085;0,24736722;0,417482096;0,326037208;Healthy
0,630649028;0,389995019;0,464808722;0,266261074;0,28188226;0,333282932;Healthy
0,638693303;0,387625435;0,456004528;0,308496236;0,330497086;0,273404962;Healthy
0,6478399;0,383058447;0,393401076;0,263875187;0,34625824;0,26617485;Healthy
0,656865981;0,375077393;0,445834881;0,239449683;0,338697949;0,22533844;Healthy
0,667893065;0,364628775;0,491775319;0,226092987;0,299404596;0,268563444;Healthy
0,682457395;0,355800533;0,536963478;0,248552124;0,336075032;0,264969819;Healthy
0,696201778;0,349522936;0,501650972;0,229746949;0,328716437;0,250312214;Healthy
0,706901563;0,345851162;0,460820099;0,233975847;0,277631016;0,237092606;Healthy
0,713208074;0,344346615;0,442970169;0,200474815;0,327923515;0,244938966;Healthy
0,716589381;0,345189231;0,451520137;0,186775592;0,316216446;0,214766993;Healthy
0,716941611;0,348600401;0,423851661;0,246341944;0,295768373;0,303951033;Healthy
0,711365411;0,35193666;0,445092797;0,253596662;0,333684968;0,347341094;Healthy
0,702261999;0,354875789;0,432330601;0,266719023;0,268612011;0,270933278;Healthy
0,692021906;0,354889437;0,398153546;0,203033341;0,389243031;0,257096792;Healthy
0,68322336;0,353703129;0,359501915;0,266003873;0,370292283;0,269309169;Healthy
0,677625423;0,353308238;0,51436812;0,249350621;0,392546002;0,232982537;Healthy
0,674279022;0,350443028;0,527128758;0,242331021;0,31941813;0,238393084;Healthy
0,673758759;0,346740457;0,478883335;0,188335312;0,326304531;0,255954203;Healthy
0,677401375;0,344072696;0,437812891;0,216488132;0,343016193;0,247704501;Healthy
0,684567558;0,34324874;0,490780836;0,201329415;0,351373088;0,287859092;Healthy
0,693200213;0,345768142;0,466211781;0,247713971;0,360402255;0,236577394;Healthy
0,70062281;0,349700973;0,531640324;0,228201031;0,396172936;0,230961634;Healthy
0,705795523;0,354693804;0,520198894;0,239419342;0,352695085;0,208526458;Healthy
0,707807787;0,361063073;0,503377606;0,216755607;0,337712945;0,241684385;Healthy
0,703865882;0,366462067;0,378429282;0,190088857;0,406782413;0,267422553;Healthy
0,695030347;0,370843291;0,444166691;0,246091429;0,369035665;0,266297596;Healthy
0,682988809;0,374866701;0,518902314;0,17511665;0,367562308;0,210616854;Healthy
0,668422872;0,377584013;0,52698899;0,204072046;0,317414536;0,250294931;Healthy
0,651568645;0,381062239;0,484156675;0,212189959;0,303189976;0,226814474;Healthy
0,636337428;0,383741251;0,539639692;0,192115795;0,314241327;0,226274409;Healthy
0,622590995;0,385697479;0,460635098;0,186548303;0,32878888;0,258151632;Healthy
0,608558245;0,388002966;0,49593602;0,19811607;0,356181252;0,226197165;Healthy
0,597177922;0,389885321;0,469631186;0,209816352;0,385260353;0,245062637;Healthy
0,590240537;0,391516426;0,496050837;0,275299278;0,287639501;0,227001213;Healthy
0,588549399;0,391467286;0,487049258;0,267952076;0,384387247;0,203901282;Healthy
0,588755465;0,39004403;0,508426066;0,274910663;0,269896229;0,244268983;Healthy
0,590636635;0,387101097;0,503334717;0,247582422;0,293290885;0,25596061;Healthy
0,594020778;0,382270312;0,494902465;0,202670045;0,312089893;0,279932972;Healthy
